Time: 10/02/2014 00:07:06
Tick:-1,  Total waiting time : 0,     Total # of processes: 0,   ASPAverage Waiting Time: 0.0,                 Finished P.: 0,    total respond time: 0,    Average response time: 0.0,         Max length readylist: 0
Tick:0,   Total waiting time : 0,     Total # of processes: 0,   ASPAverage Waiting Time: 0.0,                 Finished P.: 0,    total respond time: 0,    Average response time: 0.0,         Max length readylist: 0
Tick:1,   Total waiting time : 0,     Total # of processes: 1,   ASPAverage Waiting Time: 0.0,                 Finished P.: 0,    total respond time: 0,    Average response time: 0.0,         Max length readylist: 1
Tick:2,   Total waiting time : 1,     Total # of processes: 2,   ASPAverage Waiting Time: 0.0,                 Finished P.: 0,    total respond time: 0,    Average response time: 0.0,         Max length readylist: 1
Tick:3,   Total waiting time : 3,     Total # of processes: 3,   ASPAverage Waiting Time: 0.0,                 Finished P.: 0,    total respond time: 0,    Average response time: 0.0,         Max length readylist: 2
Tick:4,   Total waiting time : 5,     Total # of processes: 4,   ASPAverage Waiting Time: 0.0,                 Finished P.: 1,    total respond time: 1,    Average response time: 1.0,         Max length readylist: 3
Tick:5,   Total waiting time : 6,     Total # of processes: 4,   ASPAverage Waiting Time: 0.0,                 Finished P.: 2,    total respond time: 6,    Average response time: 3.0,         Max length readylist: 3
Tick:6,   Total waiting time : 5,     Total # of processes: 4,   ASPAverage Waiting Time: 0.0,                 Finished P.: 2,    total respond time: 6,    Average response time: 3.0,         Max length readylist: 3
Tick:7,   Total waiting time : 6,     Total # of processes: 4,   ASPAverage Waiting Time: 0.0,                 Finished P.: 2,    total respond time: 6,    Average response time: 3.0,         Max length readylist: 3
Tick:8,   Total waiting time : 7,     Total # of processes: 4,   ASPAverage Waiting Time: 0.0,                 Finished P.: 2,    total respond time: 6,    Average response time: 3.0,         Max length readylist: 3
Tick:9,   Total waiting time : 9,     Total # of processes: 5,   ASPAverage Waiting Time: 0.0,                 Finished P.: 2,    total respond time: 6,    Average response time: 3.0,         Max length readylist: 3
Tick:10,  Total waiting time : 11,    Total # of processes: 5,   ASPAverage Waiting Time: 0.0,                 Finished P.: 2,    total respond time: 6,    Average response time: 3.0,         Max length readylist: 3
Tick:11,  Total waiting time : 13,    Total # of processes: 5,   ASPAverage Waiting Time: 0.0,                 Finished P.: 2,    total respond time: 6,    Average response time: 3.0,         Max length readylist: 3
Tick:12,  Total waiting time : 14,    Total # of processes: 5,   ASPAverage Waiting Time: 0.6666666666666666,  Finished P.: 3,    total respond time: 20,   Average response time: 6.6666665,   Max length readylist: 3
Tick:13,  Total waiting time : 12,    Total # of processes: 5,   ASPAverage Waiting Time: 0.6666666666666666,  Finished P.: 3,    total respond time: 20,   Average response time: 6.6666665,   Max length readylist: 3
Tick:14,  Total waiting time : 14,    Total # of processes: 6,   ASPAverage Waiting Time: 0.6666666666666666,  Finished P.: 3,    total respond time: 20,   Average response time: 6.6666665,   Max length readylist: 3
Tick:15,  Total waiting time : 17,    Total # of processes: 7,   ASPAverage Waiting Time: 0.6666666666666666,  Finished P.: 3,    total respond time: 20,   Average response time: 6.6666665,   Max length readylist: 3
Tick:16,  Total waiting time : 20,    Total # of processes: 7,   ASPAverage Waiting Time: 0.6666666666666666,  Finished P.: 3,    total respond time: 20,   Average response time: 6.6666665,   Max length readylist: 3
Tick:17,  Total waiting time : 22,    Total # of processes: 7,   ASPAverage Waiting Time: 1.25,                Finished P.: 4,    total respond time: 31,   Average response time: 7.75,        Max length readylist: 3
Tick:18,  Total waiting time : 21,    Total # of processes: 7,   ASPAverage Waiting Time: 1.25,                Finished P.: 4,    total respond time: 31,   Average response time: 7.75,        Max length readylist: 3
Tick:19,  Total waiting time : 23,    Total # of processes: 7,   ASPAverage Waiting Time: 1.25,                Finished P.: 4,    total respond time: 31,   Average response time: 7.75,        Max length readylist: 3
Tick:20,  Total waiting time : 26,    Total # of processes: 8,   ASPAverage Waiting Time: 1.25,                Finished P.: 4,    total respond time: 31,   Average response time: 7.75,        Max length readylist: 3
Tick:21,  Total waiting time : 28,    Total # of processes: 8,   ASPAverage Waiting Time: 1.6,                 Finished P.: 5,    total respond time: 39,   Average response time: 7.8,         Max length readylist: 3
Tick:22,  Total waiting time : 29,    Total # of processes: 8,   ASPAverage Waiting Time: 1.6,                 Finished P.: 5,    total respond time: 39,   Average response time: 7.8,         Max length readylist: 3
Tick:23,  Total waiting time : 31,    Total # of processes: 8,   ASPAverage Waiting Time: 1.6,                 Finished P.: 5,    total respond time: 39,   Average response time: 7.8,         Max length readylist: 3
Tick:24,  Total waiting time : 33,    Total # of processes: 8,   ASPAverage Waiting Time: 1.6,                 Finished P.: 5,    total respond time: 39,   Average response time: 7.8,         Max length readylist: 3
Tick:25,  Total waiting time : 36,    Total # of processes: 9,   ASPAverage Waiting Time: 1.6,                 Finished P.: 5,    total respond time: 39,   Average response time: 7.8,         Max length readylist: 3
Tick:26,  Total waiting time : 39,    Total # of processes: 9,   ASPAverage Waiting Time: 1.6,                 Finished P.: 5,    total respond time: 39,   Average response time: 7.8,         Max length readylist: 3
Tick:27,  Total waiting time : 42,    Total # of processes: 9,   ASPAverage Waiting Time: 1.6,                 Finished P.: 5,    total respond time: 39,   Average response time: 7.8,         Max length readylist: 3
Tick:28,  Total waiting time : 44,    Total # of processes: 9,   ASPAverage Waiting Time: 1.5,                 Finished P.: 6,    total respond time: 73,   Average response time: 12.166667,   Max length readylist: 3
Tick:29,  Total waiting time : 20,    Total # of processes: 9,   ASPAverage Waiting Time: 1.5,                 Finished P.: 6,    total respond time: 73,   Average response time: 12.166667,   Max length readylist: 3
Tick:30,  Total waiting time : 25,    Total # of processes: 12,  ASPAverage Waiting Time: 1.5,                 Finished P.: 6,    total respond time: 73,   Average response time: 12.166667,   Max length readylist: 5
Tick:31,  Total waiting time : 55,    Total # of processes: 12,  ASPAverage Waiting Time: 1.2857142857142858,  Finished P.: 7,    total respond time: 75,   Average response time: 10.714286,   Max length readylist: 5
